date,1. open,2. high,3. low,4. close,5. volume
2020-02-14 16:00:00,324.97,325.02,324.69,324.95,843211.0
2020-02-14 15:55:00,324.49,324.99,324.26,324.97,583517.0
2020-02-14 15:50:00,324.18,324.5,324.18,324.46,323942.0
2020-02-14 15:45:00,324.11,324.19,323.94,324.16,147183.0
2020-02-14 15:40:00,323.81,324.16,323.81,324.12,169389.0
2020-02-14 15:35:00,323.72,323.85,323.6127,323.82,157822.0
2020-02-14 15:30:00,323.84,323.966,323.75,323.75,142333.0
2020-02-14 15:25:00,323.92,324.01,323.73,323.86,222614.0
2020-02-14 15:20:00,324.09,324.145,323.93,323.93,171517.0
2020-02-14 15:15:00,324.365,324.41,324.04,324.0662,174112.0
2020-02-14 15:10:00,324.25,324.46,324.235,324.35,106253.0
2020-02-14 15:05:00,324.46,324.53,324.2,324.21,114913.0
2020-02-14 15:00:00,324.14,324.5,324.13,324.47,123824.0
2020-02-14 14:55:00,324.145,324.25,324.041,324.12,92263.0
2020-02-14 14:50:00,324.3399,324.3399,324.02,324.147,103071.0
2020-02-14 14:45:00,324.548,324.548,324.2001,324.34,100725.0
2020-02-14 14:40:00,324.2057,324.6225,324.15,324.5448,288595.0
2020-02-14 14:35:00,324.12,324.23,323.9,324.19,174554.0
2020-02-14 14:30:00,323.97,324.26,323.94,324.13,158925.0
2020-02-14 14:25:00,323.58,323.99,323.5688,323.95,206834.0
2020-02-14 14:20:00,323.86,323.881,323.439,323.57,297070.0
2020-02-14 14:15:00,324.27,324.34,323.863,323.863,141054.0
2020-02-14 14:10:00,324.42,324.44,324.12,324.26,121171.0
2020-02-14 14:05:00,324.081,324.47,324.0397,324.4323,140154.0
2020-02-14 14:00:00,324.32,324.35,323.97,324.09,173857.0
2020-02-14 13:55:00,324.43,324.57,324.22,324.3,117428.0
2020-02-14 13:50:00,324.72,324.76,324.33,324.4083,109801.0
2020-02-14 13:45:00,324.628,324.83,324.5953,324.74,73144.0
2020-02-14 13:40:00,324.55,324.83,324.5333,324.6,121976.0
2020-02-14 13:35:00,324.23,324.53,324.215,324.53,97094.0
2020-02-14 13:30:00,324.51,324.53,324.19,324.24,133204.0
2020-02-14 13:25:00,324.51,324.6,324.43,324.54,146797.0
2020-02-14 13:20:00,324.91,324.9554,324.5,324.5092,160653.0
2020-02-14 13:15:00,324.52,325.09,324.515,324.905,246251.0
2020-02-14 13:10:00,324.7351,324.77,324.45,324.52,305517.0
2020-02-14 13:05:00,324.2,324.75,323.96,324.7202,260956.0
2020-02-14 13:00:00,324.23,324.29,324.03,324.2,148959.0
